GEO_ID,NAME,S1701_C03_009E,S1701_C03_010E,S1701_C03_016E,S1701_C03_017E
0500000US01001,"Autauga County, Alabama",9,29.1,23.2,8.4
0500000US01003,"Baldwin County, Alabama",11.2,32.8,20.4,10.8
0500000US01005,"Barbour County, Alabama",10.9,37,37.8,10.4
0500000US01007,"Bibb County, Alabama",14.7,26.9,25.6,14.5
0500000US01009,"Blount County, Alabama",16.8,41.8,38.7,14.9
0500000US01011,"Bullock County, Alabama",10.9,24.5,22.1,8.8
0500000US01013,"Butler County, Alabama",17.3,36.8,18,17.3
0500000US01015,"Calhoun County, Alabama",16.8,39.1,28.9,16.6
0500000US01017,"Chambers County, Alabama",14.5,38,27.8,14.4
0500000US01019,"Cherokee County, Alabama",20.3,27.5,44.3,20
0500000US01021,"Chilton County, Alabama",16.4,33.3,37.5,15.3
0500000US01023,"Choctaw County, Alabama",14.5,30.6,87.5,14.5
0500000US01025,"Clarke County, Alabama",16.7,39.4,51,16.6
0500000US01027,"Clay County, Alabama",15.2,32.3,5.4,15.4
0500000US01029,"Cleburne County, Alabama",17.2,15.4,70.7,16.3
0500000US01031,"Coffee County, Alabama",14.9,35.7,34.7,13.3
0500000US01033,"Colbert County, Alabama",15.6,27.4,42,15.5
0500000US01035,"Conecuh County, Alabama",19.2,49.2,35.4,18.6
0500000US01037,"Coosa County, Alabama",15.3,31.3,23.5,15
0500000US01039,"Covington County, Alabama",16.7,41.6,11.4,16.8
0500000US01041,"Crenshaw County, Alabama",15.5,24.2,15.3,15.4
0500000US01043,"Cullman County, Alabama",17.5,41.1,50.9,15.9
0500000US01045,"Dale County, Alabama",13.7,32.6,29.4,12.9
0500000US01047,"Dallas County, Alabama",13.4,44.9,26.4,13.2
0500000US01049,"DeKalb County, Alabama",17.5,25.1,47.3,15.5
0500000US01051,"Elmore County, Alabama",9.9,26.3,26.5,9.5
0500000US01053,"Escambia County, Alabama",19.7,39.8,24.7,19.7
0500000US01055,"Etowah County, Alabama",15.9,36.1,31.2,15.6
0500000US01057,"Fayette County, Alabama",17.1,42.8,47.9,16.9
0500000US01059,"Franklin County, Alabama",22.8,33.7,41.3,19.6
0500000US01061,"Geneva County, Alabama",19.6,40.8,45.3,19
0500000US01063,"Greene County, Alabama",20.8,40.8,12.8,20.8
0500000US01065,"Hale County, Alabama",13.6,37.8,1.2,13.6
0500000US01067,"Henry County, Alabama",11.7,22.6,16.3,11.9
0500000US01069,"Houston County, Alabama",11.8,34.8,35.2,11.1
0500000US01071,"Jackson County, Alabama",16.7,37.2,59.3,16
0500000US01073,"Jefferson County, Alabama",10.3,28.5,36.1,9.5
0500000US01075,"Lamar County, Alabama",20.6,37.7,80.6,19.7
0500000US01077,"Lauderdale County, Alabama",16.6,34.8,28,16.3
0500000US01079,"Lawrence County, Alabama",16,23.3,41.7,15.4
0500000US01081,"Lee County, Alabama",20.7,32.4,34.4,20.4
0500000US01083,"Limestone County, Alabama",12.5,17.6,40.5,11.3
0500000US01085,"Lowndes County, Alabama",2.9,38.3,37.1,2.9
